destination_id,name,category,longitude,latitude,nearest_node_id,snap_distance_km,source_id,wheelchair,website
D0023,Stemma araldico della famiglia Barbo,tourism,12.4814137,41.8953455,N12d4814232_41d8953424,0.000859,node/4295892980,,
D0024,Mosaico del Cristo con due schiavi,tourism,12.4954033,41.8853913,N12d4954169_41d8854152,0.002886,node/4929711022,,
D0025,La Concordia,tourism,12.4832698,41.8951297,N12d4832803_41d8950431,0.009669,node/5296362332,,
D0026,La Forza,tourism,12.4835227,41.8951871,N12d4835508_41d8952203,0.004363,node/5296362333,,
D0027,Il Diritto,tourism,12.4822400,41.8948958,N12d4821792_41d8949130,0.005384,node/5296362334,,
D0028,Il Sacrificio,tourism,12.4824868,41.8949518,N12d4825472_41d8948675,0.010624,node/5296362335,,
D0029,Leone Alato,tourism,12.4830029,41.8952649,N12d4829151_41d8953689,0.013658,node/5296362350,,
D0030,Leone Alato,tourism,12.4826058,41.8951728,N12d4826002_41d8952941,0.013496,node/5296362351,,
D0031,Adriatico,tourism,12.4833931,41.8951746,N12d4834376_41d8950776,0.011397,node/5296362352,,
D0032,Tirreno,tourism,12.4823515,41.8949341,N12d4823955_41d8948337,0.011743,node/5296362353,,
D0033,Vittoria Alata,tourism,12.4834966,41.8947042,N12d4835160_41d8947460,0.004918,node/5296423360,,
D0034,Vittoria Alata,tourism,12.4836672,41.8947398,N12d4836385_41d8947721,0.004306,node/5296423361,,
D0035,Vittoria Alata,tourism,12.4824496,41.8944485,N12d4824554_41d8945071,0.006534,node/5296423362,,
D0036,Vittoria Alata,tourism,12.4826236,41.8944882,N12d4825617_41d8945317,0.007046,node/5296423363,,
D0037,Dea Roma,tourism,12.4829367,41.8949097,N12d4829111_41d8949489,0.004847,node/5296473121,,
D0038,"Biblioteca di Ingegneria civile, meccanica e aerospaziale G. Boaga",amenity,12.4932551,41.8930992,N12d4932928_41d8931901,0.010578,node/6251333335,,https://ici.web.uniroma1.it/it/biblioteca-di-ingegneria-civile-meccanica-e-aerospaziale-bicma-g-boaga
D0039,"Biblioteca Ingegneria astronautica, elettrica ed energetica - sede Ingegneria elettrica",amenity,12.4942545,41.8936936,N12d4943585_41d8936702,0.008993,node/6251333336,,https://diaee.web.uniroma1.it/it/biblioteche/biblioteca-diaee
D0040,Biblioteca di Ingegneria meccanica e aerospaziale - sede principale,amenity,12.4930525,41.8932329,N12d4930084_41d8932131,0.004263,node/6251346678,,https://www.dima.uniroma1.it/dima/strutture/biblioteca
D0041,"Biblioteca di Ingegneria dell'informazione, elettronica e telecomunicazioni",amenity,12.4930178,41.8932591,N12d4930084_41d8932131,0.005174,node/6251369570,,
D0042,San Francesco,tourism,12.4876589,41.8923707,N12d4877190_41d8923599,0.005118,node/6402747548,,
D0043,Vittoria Alata,tourism,12.4830432,41.8951735,N12d4830892_41d8950807,0.010999,node/6697475311,,
D0044,Vittoria Alata,tourism,12.4826420,41.8950816,N12d4826812_41d8949881,0.010891,node/6697475312,,
D0045,Dea Roma,tourism,12.4833077,41.8931218,N12d4833806_41d8931278,0.006071,node/6705228512,,
D0046,Trofeo Mario,tourism,12.4824862,41.8933748,N12d4824111_41d8933751,0.006216,node/6705819691,,
D0047,Costantino II,tourism,12.4824498,41.8933344,N12d4824769_41d8932906,0.005362,node/6705819692,,
D0048,Trofeo Mario,tourism,12.4826774,41.8935932,N12d4827493_41d8935968,0.005965,node/6705819695,,
D0049,Fontana del Leone Egizio,amenity,12.4820117,41.8937976,N12d4820225_41d8938082,0.001479,node/6705819696,,
D0050,Fontana del Leone Egizio,amenity,12.4819494,41.8937282,N12d4819171_41d8937331,0.002728,node/6705819697,,
D0051,Lupa capitolina,tourism,12.4836522,41.8932668,N12d4837087_41d8933311,0.008543,node/10082765530,,
D0052,Minerva,tourism,12.4835519,41.8930029,N12d4833320_41d8930679,0.019584,node/10082765536,,
D0053,Statua equestre di Marco Aurelio,tourism,12.4822817,41.8927041,N12d4820248_41d8925244,0.029180,node/10082765537,,
D0054,Biblioteca del Centro di studi per la storia dell'architettura,amenity,12.4807027,41.8896895,N12d4808547_41d8896025,0.015871,node/10928759813,,http://www.cssar-casadeicrescenzi.it/biblioteca/
D0055,Busto di Madre Teresa di Calcutta,tourism,12.4903493,41.8862938,N12d4904421_41d8862145,0.011695,node/11694713980,,
D0056,Statua colossale di Costantino,tourism,12.4815202,41.8920440,N12d4815133_41d8920899,0.005136,node/12697352902,,
