id,name,lat,lon,type
222,Public Affairs Directorate,5.6510658,-0.1954203,unknown
223,Distance Education Center,5.6510978,-0.1812731,unknown
224,Cash office,5.6501791,-0.1954248,unknown
225,communication dept,5.6514484,-0.1809798,unknown
226,college of education,5.6530756,-0.1811297,unknown
227,College of Education,5.6525914,-0.1811277,unknown
228,Dance practical venue,5.6488529,-0.1807903,unknown
229,Distance Education Center,5.6512011,-0.1811310,unknown
230,Distance Education Center,5.6510940,-0.1809785,unknown
231,Department of Archaelogy,5.6520276,-0.1811788,unknown
232,The Baby Nest,5.6421746,-0.1979647,kindergarten
233,Career and councelling dept,5.6494475,-0.1902795,unknown
234,Confusious Institute,5.6490400,-0.1897362,unknown
235,Language Center,5.6498662,-0.1895072,unknown
236,,5.6511099,-0.1822693,parking
237,family health shio,5.6480466,-0.1788001,unknown
238,First Eye Plaza,5.6414407,-0.1779577,unknown
239,"Young African Leaders Initiative Regional Leadership Center, West Africa, Accra (YALI)",5.6342822,-0.2001162,unknown
240,Department of Plant Biology,5.6546422,-0.1834414,unknown
241,,5.6665430,-0.1779128,bus_station
242,Modern language department,5.6494610,-0.1898441,unknown
243,Academic Registry Public Relation Department,5.6359172,-0.1998877,unknown
244,Business Department,5.6360535,-0.1994570,unknown
245,Porter's lodge,5.6347639,-0.1992156,unknown
246,ISSER Annex Pagoda 3,5.6556811,-0.1845447,unknown
247,The Office of the Provost of College of Education (ISSER Annex),5.6553529,-0.1842112,unknown
248,,5.6510789,-0.1863724,parking
249,Bush Canteen,5.6455967,-0.1800598,food_court
250,LIC legon interdenominatinal church,5.6551079,-0.1902331,parking
251,LIC legon interdenominatinal church,5.6555291,-0.1901136,parking
252,saint thomas acquinas,5.6546532,-0.1900392,parking_space
253,Anglican Church Legon Hall,5.6563988,-0.1907252,parking_space
254,,5.6339086,-0.1855228,parking
255,East Legon 8,5.6460228,-0.1844783,unknown
256,Legon City Mall,5.6534426,-0.1788186,unknown
257,Computer Science Dept,5.6544410,-0.1837476,unknown
258,Absa,5.6540205,-0.1790375,bank
259,Pilosoft Services,5.6511865,-0.1794882,it
260,Printing Shop,5.6499650,-0.1868512,unknown
261,Old law faculty,5.6528538,-0.1815174,unknown
262,East Legon 22,5.6443028,-0.1846965,unknown
263,East Legon,5.6472042,-0.1842785,unknown
264,Cedi Conference Centre,5.6515963,-0.1881818,conference_centre
265,N Block,5.6547023,-0.1868161,unknown
266,NBlock,5.6546936,-0.1872933,unknown
267,,5.6549100,-0.1870547,toilets
268,,5.6523187,-0.1823483,parking
269,,5.6530759,-0.1838463,parking
270,"Mellow Foods, Accra",5.6628040,-0.1795770,unknown
271,Dance office,5.6494934,-0.1811855,unknown
272,Dance washroom and store room,5.6496181,-0.1810701,unknown
273,Rest station,5.6517496,-0.1890346,unknown
274,UGBS Car Parking Lot,5.6528429,-0.1889923,parking
275,Balme Library extension,5.6517815,-0.1877525,unknown
276,,5.6477712,-0.1809489,toilets
277,Mensah Sarbah Hall Mosque,5.6455097,-0.1864822,place_of_worship
278,Vice Chancellor's Residence,5.6495919,-0.1970702,unknown
279,,5.6500941,-0.1962120,parking
280,,5.6500615,-0.1953606,parking
281,Great Hall,5.6506336,-0.1962168,unknown
282,,5.6496938,-0.1914496,parking
283,East Legon 21,5.6448082,-0.1844832,unknown
284,East Legon 9,5.6456621,-0.1839616,unknown
285,East Legon 11,5.6478663,-0.1837175,unknown
286,East Legon 6,5.6471847,-0.1832931,unknown
287,East Legon 20,5.6466655,-0.1846659,unknown
288,,5.6476653,-0.1884718,pub
289,,5.6476613,-0.1885793,restaurant
290,,5.6470334,-0.1886498,food_court
291,Laptop repairs and mobile shop infront of SRC,5.6469286,-0.1875179,unknown
292,East Legon 8,5.6461646,-0.1843616,unknown
293,Energy building,5.6465735,-0.1880842,unknown
294,Graduate Block C Legon Annex,5.6469334,-0.1888381,unknown
295,Sarbah Main,5.6454114,-0.1875467,unknown
296,Pentagon Block B,5.6591234,-0.1821068,unknown
297,Pentagon Block A,5.6573349,-0.1818463,unknown
298,Pentagon Block A,5.6572397,-0.1821966,unknown
299,,5.6439762,-0.1868353,parking
300,,5.6369711,-0.1849397,parking
301,,5.6368633,-0.1851813,parking
302,,5.6376111,-0.1852992,parking
303,,5.6374796,-0.1855280,parking
304,,5.6449164,-0.1868279,parking
305,Sey frontage,5.6357375,-0.1878314,parking
306,,5.6355425,-0.1880374,parking
307,lizalex,5.6364520,-0.1866406,place_of_worship
308,,5.6366385,-0.1861695,parking
309,,5.6377912,-0.1842871,parking
310,Night Market,5.6420766,-0.1856037,food_court
311,,5.6524770,-0.1867299,marketplace
312,,5.6509681,-0.1901762,restaurant
313,Frank Torto Chemistry Building,5.6528569,-0.1855815,unknown
314,UGBS Graduate Campus,5.6587369,-0.1776197,university
315,,5.6549555,-0.1843838,parking
316,,5.6360011,-0.2001645,parking
317,,5.6333311,-0.1989719,parking
318,,5.6324744,-0.2000800,parking
319,The Kufuor Centre For Leadership and Governance,5.6552391,-0.1821466,unknown
320,,5.6553446,-0.1813449,parking
321,,5.6521760,-0.1782900,parking
322,,5.6518125,-0.1783354,parking
323,,5.6512650,-0.1781636,parking
324,Nairobi Courts,5.6565606,-0.1805851,unknown
325,Kampala Courts,5.6565235,-0.1810342,unknown
326,"New N Block, NNB",5.6559613,-0.1879588,unknown
327,"Centre for Climate Change and Sustainability Studies, C3SS",5.6565213,-0.1879668,unknown
328,Internal Audit Directorate,5.6509387,-0.1942729,unknown
329,Nature and Food Development Foundatiom,5.6540831,-0.1880742,unknown
330,Centre for Biodiversity Conservation Research,5.6542458,-0.1877235,unknown
331,,5.6542382,-0.1901685,parking
332,,5.6555398,-0.1834105,parking
333,Institute of Statistical and Social and Economic Research (ISSER) Annex,5.6553552,-0.1844582,unknown
334,Institute of Statistical and Social and Economic Research (ISSER) Annex,5.6553133,-0.1845911,unknown
335,ISSER Annex Pagoda 3,5.6556788,-0.1842248,unknown
336,ISSER Annex Pagoda 3,5.6556748,-0.1843791,unknown
337,"Goil Service Center, Haatso-Atomic",5.6666683,-0.1867977,unknown
338,"Go Mart, Haatso-Atomic",5.6666534,-0.1866009,unknown
339,Haatso Goil Oil change and repair shop,5.6666505,-0.1864661,unknown
340,Center Point Mall,5.6668957,-0.1799503,unknown
341,,5.6322001,-0.1849308,parking
342,,5.6670846,-0.1799980,parking
343,,5.6327869,-0.1848011,parking
344,Legon Hospital Bus Station,5.6495321,-0.1791633,bus_station
345,,5.6533613,-0.1794780,parking
346,,5.6498376,-0.1815454,parking
347,,5.6487737,-0.1811276,parking
348,Legon hall barbeque joint,5.6486921,-0.1897218,unknown
349,,5.6409065,-0.1805201,parking
350,,5.6423604,-0.1877030,parking
351,,5.6402783,-0.1863045,fast_food
352,Tayiba Restaurant,5.6668923,-0.1884370,restaurant
353,Bush Canteen,5.6342961,-0.1844140,fast_food
354,,5.6476845,-0.1816696,fuel
355,Ecobank,5.6425461,-0.1848924,bank
356,Goil,5.6603126,-0.1774687,fuel
357,Total Atomic Junction,5.6670238,-0.1783964,fuel
358,CalBank,5.6425946,-0.1857784,bank
359,,5.6450876,-0.1898663,restaurant
360,Legon Taxi Rank,5.6408962,-0.1789632,taxi
361,,5.6507859,-0.1890544,atm
362,,5.6469774,-0.1865162,atm
363,UMB,5.6425235,-0.1853858,bank
364,Stanbic Bank,5.6429557,-0.1855191,bank
365,,5.6500789,-0.1856612,fountain
366,Standard Chartered,5.6508919,-0.1864861,bank
367,Ecobank,5.6519994,-0.1884850,atm
368,Ebenezer Nursery,5.6671424,-0.1927394,school
369,Solutions Pharmaceuticals Limited,5.6409902,-0.1774232,pharmacy
370,Stanbic,5.6600823,-0.1774304,atm
371,Oando,5.6572876,-0.1802505,fuel
372,,5.6480385,-0.1790180,pharmacy
373,,5.6501670,-0.1857845,bench
374,,5.6494717,-0.1855485,bench
375,,5.6494697,-0.1857711,bench
376,,5.6496605,-0.1855519,bench
377,,5.6496505,-0.1857631,bench
378,,5.6508028,-0.1890253,atm
379,,5.6508039,-0.1889738,atm
380,Access Bank,5.6471783,-0.1875033,atm
381,,5.6520261,-0.1815507,bench
382,,5.6457368,-0.1838311,parking
383,,5.6460071,-0.1870441,fountain
384,,5.6429471,-0.1863194,parking
385,Consolidated Bank Ghana,5.6425970,-0.1859310,bank
386,CITA Geakrh,5.6664108,-0.1962211,doctors
387,,5.6529295,-0.1870426,fountain
388,,5.6500722,-0.1854587,restaurant
389,,5.6453931,-0.1871163,restaurant
390,,5.6638427,-0.1783294,car_wash
391,Maxi Catering Services,5.6393227,-0.1825771,restaurant
392,,5.6482875,-0.1799882,waste_basket
393,,5.6512161,-0.1836098,parking
394,UPSA Taxi Rank,5.6601900,-0.1779885,bus_station
395,,5.6513422,-0.1824389,waste_basket
396,,5.6488877,-0.1796220,waste_basket
397,,5.6360455,-0.2007622,library
398,Consolidated Bank Ghana,5.6361883,-0.2005292,bank
399,,5.6347571,-0.1990786,parking
400,,5.6374455,-0.2027826,parking
401,Papaye,5.6670197,-0.1870428,fast_food
402,tickels restaurant,5.6380309,-0.1847940,restaurant
403,bervels,5.6366154,-0.1859560,restaurant
404,Elizabeth Sey Pharmacy,5.6354138,-0.1874682,pharmacy
405,HIlla Limann,5.6374645,-0.1846508,fountain
406,FirstBank Ghana,5.6669892,-0.1786231,bank
407,Bayview Village,5.6666075,-0.1790187,pub
408,Accential,5.6415574,-0.1779811,training
409,,5.6640534,-0.1782094,car_wash
410,"Earth Science Department, Legon",5.6512093,-0.1844220,college
411,Diamed Diagnostical and Treatment Center,5.6390968,-0.1774079,clinic
412,"Department of Family and Consumer Sciences Annex, FCOS",5.6528284,-0.1845303,school
413,,5.6565539,-0.1815048,atm
414,Pinkberry,5.6670054,-0.1801056,ice_cream
415,,5.6669887,-0.1861754,atm
416,,5.6669675,-0.1861759,atm
417,,5.6669368,-0.1861759,atm
418,Pizzaman-Chickenman,5.6669912,-0.1801479,fast_food
419,Absa ATM,5.6669959,-0.1869312,atm
420,Standard Chartered ATM,5.6508426,-0.1864967,atm
421,Standard Chartered ATM,5.6601153,-0.1774151,atm
422,,5.6519751,-0.1797098,atm
423,,5.6534707,-0.1830767,parking
