action,id,name,lat,lon,type,details
added,246,ISSER Annex Pagoda 3,5.6556811,-0.1845447,unknown,
added,247,The Office of the Provost of College of Education (ISSER Annex),5.6553529,-0.1842112,unknown,
added,248,,5.6510789,-0.1863724,parking,
added,249,Bush Canteen,5.6455967,-0.1800598,food_court,
added,250,LIC legon interdenominatinal church,5.6551079,-0.1902331,parking,
added,251,LIC legon interdenominatinal church,5.6555291,-0.1901136,parking,
added,252,saint thomas acquinas,5.6546532,-0.1900392,parking_space,
added,253,Anglican Church Legon Hall,5.6563988,-0.1907252,parking_space,
added,254,,5.6339086,-0.1855228,parking,
added,255,East Legon 8,5.6460228,-0.1844783,unknown,
added,256,Legon City Mall,5.6534426,-0.1788186,unknown,
added,257,Computer Science Dept,5.6544410,-0.1837476,unknown,
added,258,Absa,5.6540205,-0.1790375,bank,
added,259,Pilosoft Services,5.6511865,-0.1794882,it,
added,260,Printing Shop,5.6499650,-0.1868512,unknown,
added,261,Old law faculty,5.6528538,-0.1815174,unknown,
added,262,East Legon 22,5.6443028,-0.1846965,unknown,
added,263,East Legon,5.6472042,-0.1842785,unknown,
added,264,Cedi Conference Centre,5.6515963,-0.1881818,conference_centre,
added,265,N Block,5.6547023,-0.1868161,unknown,
added,266,NBlock,5.6546936,-0.1872933,unknown,
added,267,,5.6549100,-0.1870547,toilets,
added,268,,5.6523187,-0.1823483,parking,
added,269,,5.6530759,-0.1838463,parking,
added,270,"Mellow Foods, Accra",5.6628040,-0.1795770,unknown,
added,271,Dance office,5.6494934,-0.1811855,unknown,
added,272,Dance washroom and store room,5.6496181,-0.1810701,unknown,
added,273,Rest station,5.6517496,-0.1890346,unknown,
added,274,UGBS Car Parking Lot,5.6528429,-0.1889923,parking,
added,275,Balme Library extension,5.6517815,-0.1877525,unknown,
added,276,,5.6477712,-0.1809489,toilets,
added,277,Mensah Sarbah Hall Mosque,5.6455097,-0.1864822,place_of_worship,
added,278,Vice Chancellor's Residence,5.6495919,-0.1970702,unknown,
added,279,,5.6500941,-0.1962120,parking,
added,280,,5.6500615,-0.1953606,parking,
added,281,Great Hall,5.6506336,-0.1962168,unknown,
added,282,,5.6496938,-0.1914496,parking,
added,283,East Legon 21,5.6448082,-0.1844832,unknown,
added,284,East Legon 9,5.6456621,-0.1839616,unknown,
added,285,East Legon 11,5.6478663,-0.1837175,unknown,
added,286,East Legon 6,5.6471847,-0.1832931,unknown,
added,287,East Legon 20,5.6466655,-0.1846659,unknown,
added,288,,5.6476653,-0.1884718,pub,
added,289,,5.6476613,-0.1885793,restaurant,
added,290,,5.6470334,-0.1886498,food_court,
added,291,Laptop repairs and mobile shop infront of SRC,5.6469286,-0.1875179,unknown,
added,292,East Legon 8,5.6461646,-0.1843616,unknown,
added,293,Energy building,5.6465735,-0.1880842,unknown,
added,294,Graduate Block C Legon Annex,5.6469334,-0.1888381,unknown,
added,295,Sarbah Main,5.6454114,-0.1875467,unknown,
added,296,Pentagon Block B,5.6591234,-0.1821068,unknown,
added,297,Pentagon Block A,5.6573349,-0.1818463,unknown,
added,298,Pentagon Block A,5.6572397,-0.1821966,unknown,
added,299,,5.6439762,-0.1868353,parking,
added,300,,5.6369711,-0.1849397,parking,
added,301,,5.6368633,-0.1851813,parking,
added,302,,5.6376111,-0.1852992,parking,
added,303,,5.6374796,-0.1855280,parking,
added,304,,5.6449164,-0.1868279,parking,
added,305,Sey frontage,5.6357375,-0.1878314,parking,
added,306,,5.6355425,-0.1880374,parking,
added,307,lizalex,5.6364520,-0.1866406,place_of_worship,
added,308,,5.6366385,-0.1861695,parking,
added,309,,5.6377912,-0.1842871,parking,
added,310,Night Market,5.6420766,-0.1856037,food_court,
added,311,,5.6524770,-0.1867299,marketplace,
added,312,,5.6509681,-0.1901762,restaurant,
added,313,Frank Torto Chemistry Building,5.6528569,-0.1855815,unknown,
added,314,UGBS Graduate Campus,5.6587369,-0.1776197,university,
added,315,,5.6549555,-0.1843838,parking,
added,316,,5.6360011,-0.2001645,parking,
added,317,,5.6333311,-0.1989719,parking,
added,318,,5.6324744,-0.2000800,parking,
added,319,The Kufuor Centre For Leadership and Governance,5.6552391,-0.1821466,unknown,
added,320,,5.6553446,-0.1813449,parking,
added,321,,5.6521760,-0.1782900,parking,
added,322,,5.6518125,-0.1783354,parking,
added,323,,5.6512650,-0.1781636,parking,
added,324,Nairobi Courts,5.6565606,-0.1805851,unknown,
added,325,Kampala Courts,5.6565235,-0.1810342,unknown,
added,326,"New N Block, NNB",5.6559613,-0.1879588,unknown,
added,327,"Centre for Climate Change and Sustainability Studies, C3SS",5.6565213,-0.1879668,unknown,
added,328,Internal Audit Directorate,5.6509387,-0.1942729,unknown,
added,329,Nature and Food Development Foundatiom,5.6540831,-0.1880742,unknown,
added,330,Centre for Biodiversity Conservation Research,5.6542458,-0.1877235,unknown,
added,331,,5.6542382,-0.1901685,parking,
added,332,,5.6555398,-0.1834105,parking,
added,333,Institute of Statistical and Social and Economic Research (ISSER) Annex,5.6553552,-0.1844582,unknown,
added,334,Institute of Statistical and Social and Economic Research (ISSER) Annex,5.6553133,-0.1845911,unknown,
added,335,ISSER Annex Pagoda 3,5.6556788,-0.1842248,unknown,
added,336,ISSER Annex Pagoda 3,5.6556748,-0.1843791,unknown,
added,337,"Goil Service Center, Haatso-Atomic",5.6666683,-0.1867977,unknown,
added,338,"Go Mart, Haatso-Atomic",5.6666534,-0.1866009,unknown,
added,339,Haatso Goil Oil change and repair shop,5.6666505,-0.1864661,unknown,
added,340,Center Point Mall,5.6668957,-0.1799503,unknown,
added,341,,5.6322001,-0.1849308,parking,
added,342,,5.6670846,-0.1799980,parking,
added,343,,5.6327869,-0.1848011,parking,
added,344,Legon Hospital Bus Station,5.6495321,-0.1791633,bus_station,
added,345,,5.6533613,-0.1794780,parking,
added,346,,5.6498376,-0.1815454,parking,
added,347,,5.6487737,-0.1811276,parking,
added,348,Legon hall barbeque joint,5.6486921,-0.1897218,unknown,
added,349,,5.6409065,-0.1805201,parking,
added,350,,5.6423604,-0.1877030,parking,
added,351,,5.6402783,-0.1863045,fast_food,
added,352,Tayiba Restaurant,5.6668923,-0.1884370,restaurant,
added,353,Bush Canteen,5.6342961,-0.1844140,fast_food,
added,354,,5.6476845,-0.1816696,fuel,
added,355,Ecobank,5.6425461,-0.1848924,bank,
added,356,Goil,5.6603126,-0.1774687,fuel,
added,357,Total Atomic Junction,5.6670238,-0.1783964,fuel,
added,358,CalBank,5.6425946,-0.1857784,bank,
added,359,,5.6450876,-0.1898663,restaurant,
added,360,Legon Taxi Rank,5.6408962,-0.1789632,taxi,
added,361,,5.6507859,-0.1890544,atm,
added,362,,5.6469774,-0.1865162,atm,
added,363,UMB,5.6425235,-0.1853858,bank,
added,364,Stanbic Bank,5.6429557,-0.1855191,bank,
added,365,,5.6500789,-0.1856612,fountain,
added,366,Standard Chartered,5.6508919,-0.1864861,bank,
added,367,Ecobank,5.6519994,-0.1884850,atm,
added,368,Ebenezer Nursery,5.6671424,-0.1927394,school,
added,369,Solutions Pharmaceuticals Limited,5.6409902,-0.1774232,pharmacy,
added,370,Stanbic,5.6600823,-0.1774304,atm,
added,371,Oando,5.6572876,-0.1802505,fuel,
added,372,,5.6480385,-0.1790180,pharmacy,
added,373,,5.6501670,-0.1857845,bench,
added,374,,5.6494717,-0.1855485,bench,
added,375,,5.6494697,-0.1857711,bench,
added,376,,5.6496605,-0.1855519,bench,
added,377,,5.6496505,-0.1857631,bench,
added,378,,5.6508028,-0.1890253,atm,
added,379,,5.6508039,-0.1889738,atm,
added,380,Access Bank,5.6471783,-0.1875033,atm,
added,381,,5.6520261,-0.1815507,bench,
added,382,,5.6457368,-0.1838311,parking,
added,383,,5.6460071,-0.1870441,fountain,
added,384,,5.6429471,-0.1863194,parking,
added,385,Consolidated Bank Ghana,5.6425970,-0.1859310,bank,
added,386,CITA Geakrh,5.6664108,-0.1962211,doctors,
added,387,,5.6529295,-0.1870426,fountain,
added,388,,5.6500722,-0.1854587,restaurant,
added,389,,5.6453931,-0.1871163,restaurant,
added,390,,5.6638427,-0.1783294,car_wash,
added,391,Maxi Catering Services,5.6393227,-0.1825771,restaurant,
added,392,,5.6482875,-0.1799882,waste_basket,
added,393,,5.6512161,-0.1836098,parking,
added,394,UPSA Taxi Rank,5.6601900,-0.1779885,bus_station,
added,395,,5.6513422,-0.1824389,waste_basket,
added,396,,5.6488877,-0.1796220,waste_basket,
added,397,,5.6360455,-0.2007622,library,
added,398,Consolidated Bank Ghana,5.6361883,-0.2005292,bank,
added,399,,5.6347571,-0.1990786,parking,
added,400,,5.6374455,-0.2027826,parking,
added,401,Papaye,5.6670197,-0.1870428,fast_food,
added,402,tickels restaurant,5.6380309,-0.1847940,restaurant,
added,403,bervels,5.6366154,-0.1859560,restaurant,
added,404,Elizabeth Sey Pharmacy,5.6354138,-0.1874682,pharmacy,
added,405,HIlla Limann,5.6374645,-0.1846508,fountain,
added,406,FirstBank Ghana,5.6669892,-0.1786231,bank,
added,407,Bayview Village,5.6666075,-0.1790187,pub,
added,408,Accential,5.6415574,-0.1779811,training,
added,409,,5.6640534,-0.1782094,car_wash,
added,410,"Earth Science Department, Legon",5.6512093,-0.1844220,college,
added,411,Diamed Diagnostical and Treatment Center,5.6390968,-0.1774079,clinic,
added,412,"Department of Family and Consumer Sciences Annex, FCOS",5.6528284,-0.1845303,school,
added,413,,5.6565539,-0.1815048,atm,
added,414,Pinkberry,5.6670054,-0.1801056,ice_cream,
added,415,,5.6669887,-0.1861754,atm,
added,416,,5.6669675,-0.1861759,atm,
added,417,,5.6669368,-0.1861759,atm,
added,418,Pizzaman-Chickenman,5.6669912,-0.1801479,fast_food,
added,419,Absa ATM,5.6669959,-0.1869312,atm,
added,420,Standard Chartered ATM,5.6508426,-0.1864967,atm,
added,421,Standard Chartered ATM,5.6601153,-0.1774151,atm,
added,422,,5.6519751,-0.1797098,atm,
added,423,,5.6534707,-0.1830767,parking,
updated_coords,86,Balme Library Fountain,5.6510528,-0.1870679,fountain,"old=(5.6510528,-0.1870679)"
updated_coords,86,Balme Library Fountain,5.6510528,-0.1870679,fountain,"old=(5.6510946,-0.1870278)"
skipped,,SG-SSB,5.6478457,-0.1789641,atm,duplicate within 0.0m
skipped,,Total,5.6474920,-0.1789740,fuel,duplicate within 0.0m
skipped,,Legon Police Station,5.6506714,-0.1795850,police,duplicate within 0.0m
skipped,,Institute For Environment & Sanitation Studies,5.6535146,-0.1819874,college,duplicate within 0.0m
skipped,,Republic Bank,5.6432313,-0.1849777,bank,duplicate within 0.0m
skipped,,Bush Canteen,5.6480697,-0.1809222,restaurant,duplicate within 0.0m
skipped,,University Fire Station Legon,5.6484568,-0.1812207,fire_station,duplicate within 0.0m
skipped,,Republic Bank,5.6493371,-0.1870528,atm,duplicate within 0.0m
skipped,,Access Bank,5.6429499,-0.1858097,bank,duplicate within 0.0m
skipped,,Consolidated Bank Ghana,5.6430552,-0.1856608,bank,duplicate within 0.0m
skipped,,Koko Joint,5.6512819,-0.1796424,fast_food,duplicate within 0.0m
skipped,,West Africa Centre for Crop Improvement,5.6491112,-0.1841306,school,duplicate within 0.0m
skipped,,Prudential Bank,5.6429477,-0.1859194,bank,duplicate within 0.0m
skipped,,Republic Bank,5.6429518,-0.1857129,bank,duplicate within 0.0m
skipped,,Ernest Chemist,5.6531812,-0.1791792,pharmacy,duplicate within 0.0m
skipped,,Absa,5.6508864,-0.1863873,bank,duplicate within 0.0m
skipped,,Legon Hall Barbeque Joint,5.6487354,-0.1895287,restaurant,duplicate within 0.0m
skipped,,GCB Bank,5.6519986,-0.1795931,bank,duplicate within 0.0m
skipped,,Volta Café,5.6516613,-0.1894537,internet_cafe,duplicate within 0.0m
skipped,,Zenith,5.6516214,-0.1891882,atm,duplicate within 0.0m
skipped,,GCB Bank,5.6467810,-0.1875734,atm,duplicate within 0.0m
skipped,,Zenith Bank,5.6468339,-0.1875034,atm,duplicate within 0.0m
skipped,,Radio Univers,5.6517917,-0.1809960,studio,duplicate within 0.0m
skipped,,School of Communication Studies,5.6517512,-0.1812907,school,duplicate within 0.0m
skipped,,Benzola Supermarket and Mini Restaurant,5.6478885,-0.1854412,restaurant,duplicate within 0.0m
skipped,,School of Performing Art,5.6496935,-0.1811913,school,duplicate within 0.0m
skipped,,Baba's Special Kebab,5.6421100,-0.1857203,fast_food,duplicate within 0.0m
skipped,,Physics,5.6519893,-0.1858952,college,duplicate within 0.0m
skipped,,Mobile Money,5.6516696,-0.1890355,payment_centre,duplicate within 0.0m
skipped,,Balme Library,5.6511292,-0.1870251,fountain,duplicate within 0.0m
skipped,,Commonwealth Dinning hall,5.6513099,-0.1925829,restaurant,duplicate within 0.0m
skipped,,Food vendors,5.6510658,-0.1921150,marketplace,duplicate within 0.0m
skipped,,small food vendor,5.6484043,-0.1854504,restaurant,duplicate within 0.0m
skipped,,DHL,5.6480878,-0.1790256,post_office,duplicate within 0.0m
skipped,,Pent Food Court,5.6562040,-0.1806730,restaurant,duplicate within 0.0m
skipped,,Department of Plant and Environmental Biology,5.6536902,-0.1865526,university,duplicate within 0.0m
skipped,,Department of Mathematics,5.6538762,-0.1844130,school,duplicate within 0.0m
skipped,,Cedi Conference Centre,5.6516029,-0.1882722,community_centre,duplicate within 0.0m
skipped,,University of Ghana Business School,5.6528087,-0.1886270,college,duplicate within 0.0m
skipped,,School of Engineering Sciences,5.6555123,-0.1830511,college,duplicate within 0.0m
skipped,,Amphitheatre Grounds,5.6506396,-0.1937105,theatre,duplicate within 0.0m
skipped,,Muslim Prayer Lounge,5.6507792,-0.1933811,place_of_worship,duplicate within 0.0m
skipped,,Commonwealth Hall Chapel,5.6500788,-0.1926101,place_of_worship,duplicate within 0.0m
skipped,,Joepharma Pharmacy,5.6504151,-0.1915174,pharmacy,duplicate within 0.0m
skipped,,Department of Physics,5.6514369,-0.1860522,university,duplicate within 0.0m
skipped,,Hall Library,5.6464316,-0.1872899,library,duplicate within 0.0m
skipped,,Department of Animal Biology and Conservation Science,5.6537135,-0.1877829,university,duplicate within 0.0m
skipped,,Mishvet Veterinary Home Call Services,5.6468285,-0.1855157,veterinary,duplicate within 0.0m
skipped,,Night Market,5.6425034,-0.1862823,marketplace,duplicate within 0.0m
skipped,,GIS Lab A2,5.6509856,-0.1834970,fixme,duplicate within 0.0m
skipped,,GCB Bank ATM,5.6510275,-0.1875888,atm,duplicate within 0.0m
skipped,,Commonwealth Hall Library,5.6506539,-0.1935633,library,duplicate within 0.0m
skipped,,Economics Department,5.6511659,-0.1874726,fixme,duplicate within 0.0m
skipped,,ADB,5.6431960,-0.1848960,bank,duplicate within 0.0m
