road_id,from_location_id,to_location_id,distance_km,travel_time_min,condition_weight
R197,L007,L006,0.21,2,1.0
R198,L012,L018,0.5,4,1.3
R199,L044,L017,0.29,2,1.3
R200,L045,L021,0.1,1,1.0
R201,L045,L012,0.31,2,1.0
R202,L041,L006,0.53,4,1.0
R203,L039,L015,0.09,1,1.0
R204,L030,L001,0.25,2,1.3
R205,L009,L003,0.37,3,1.1
R206,L008,L011,0.21,2,1.1
R207,L013,L020,0.43,3,1.1
R208,L019,L029,0.35,3,1.1
R209,L018,L023,0.53,4,1.2
R210,L002,L047,0.35,3,1.1
R211,L033,L031,0.2,2,1.3
R212,L007,L043,0.54,4,1.3
R213,L043,L032,0.38,3,1.3
R214,L033,L020,0.46,4,1.1
R215,L046,L047,0.43,3,1.3
R216,L023,L004,0.55,4,1.0
R217,L005,L041,0.49,4,1.2
R218,L028,L011,0.08,1,1.3
R219,L033,L043,0.63,5,1.1
R220,L045,L019,0.08,1,1.1
R221,L011,L018,0.32,2,1.2
R222,L024,L022,0.63,5,1.2
R223,L016,L003,0.63,5,1.2
R224,L014,L023,0.16,1,1.2
R225,L025,L006,0.33,3,1.1
R226,L001,L006,0.21,2,1.0
R227,L010,L026,0.4,3,1.3
R228,L002,L020,0.23,2,1.1
R229,L006,L038,0.62,5,1.1
R230,L039,L025,0.51,4,1.3
R231,L010,L019,0.48,4,1.1
R232,L003,L046,0.59,5,1.3
R233,L047,L045,0.54,4,1.1
R234,L034,L033,0.39,3,1.0
R235,L045,L042,0.19,1,1.0
R236,L041,L024,0.63,5,1.3
R237,L029,L036,0.08,1,1.0
R238,L041,L035,0.46,4,1.3
R239,L017,L001,0.32,2,1.0
R240,L048,L033,0.59,5,1.0
R241,L043,L034,0.09,1,1.3
R242,L017,L005,0.56,4,1.1
R243,L047,L014,0.19,1,1.3
R244,L032,L025,0.1,1,1.2
R245,L003,L040,0.43,3,1.1
R246,L005,L039,0.14,1,1.2
R247,L042,L048,0.47,4,1.1
R248,L001,L031,0.09,1,1.2
R249,L044,L007,0.47,4,1.3
R250,L034,L019,0.33,3,1.3
R251,L008,L036,0.17,1,1.0
R252,L031,L002,0.22,2,1.0
R253,L033,L029,0.65,5,1.3
R254,L014,L005,0.4,3,1.1
R255,L048,L034,0.21,2,1.2
R256,L009,L039,0.54,4,1.2
R257,L008,L046,0.27,2,1.3
R258,L032,L026,0.06,1,1.0
R259,L032,L044,0.32,2,1.2
R260,L047,L010,0.3,2,1.3
R261,L021,L008,0.55,4,1.0
R262,L021,L022,0.55,4,1.0
R263,L013,L046,0.06,1,1.2
R264,L017,L024,0.09,1,1.3
R265,L038,L005,0.27,2,1.3
R266,L018,L004,0.22,2,1.0
R267,L043,L019,0.43,3,1.1
R268,L016,L018,0.31,2,1.2
R269,L013,L024,0.52,4,1.3
R270,L002,L041,0.29,2,1.1
R271,L027,L029,0.42,3,1.1
R272,L042,L019,0.34,3,1.1
R273,L011,L031,0.3,2,1.2
R274,L017,L026,0.44,3,1.2
R275,L031,L036,0.45,3,1.0
R276,L011,L005,0.17,1,1.3
R277,L036,L015,0.32,2,1.2
R278,L009,L036,0.17,1,1.0
R279,L012,L022,0.38,3,1.2
R280,L016,L024,0.21,2,1.1
R281,L002,L048,0.57,4,1.3
R282,L027,L048,0.36,3,1.3
R283,L018,L022,0.5,4,1.3
R284,L018,L037,0.63,5,1.1
R285,L044,L033,0.37,3,1.1
R286,L006,L018,0.59,5,1.3
R287,L026,L042,0.32,2,1.2
R288,L003,L028,0.48,4,1.3
R289,L038,L032,0.05,1,1.3
R290,L034,L030,0.63,5,1.1
R291,L007,L015,0.14,1,1.0
R292,L042,L030,0.1,1,1.0
R293,L001,L009,0.19,1,1.0
R294,L042,L046,0.23,2,1.1
R295,L041,L017,0.37,3,1.3
R296,L045,L008,0.11,1,1.2
R297,L034,L038,0.17,1,1.2
R298,L001,L035,0.23,2,1.3
R299,L018,L021,0.44,3,1.1
R300,L031,L034,0.19,1,1.1
R301,L002,L027,0.47,4,1.2
R302,L004,L002,0.17,1,1.3
R303,L006,L017,0.19,1,1.3
R304,L024,L015,0.35,3,1.2
R305,L024,L044,0.29,2,1.0
R306,L019,L048,0.56,4,1.0
R307,L014,L032,0.63,5,1.2
R308,L030,L015,0.21,2,1.2
R309,L007,L040,0.35,3,1.1
R310,L015,L032,0.3,2,1.0
R311,L039,L010,0.6,5,1.0
R312,L014,L002,0.63,5,1.1
R313,L027,L004,0.48,4,1.1
R314,L046,L021,0.49,4,1.0
R315,L011,L022,0.16,1,1.3
R316,L003,L020,0.45,3,1.3
R317,L006,L023,0.3,2,1.0
R318,L036,L014,0.28,2,1.2
R319,L028,L006,0.08,1,1.3
R320,L035,L029,0.17,1,1.2
R321,L048,L031,0.07,1,1.3
R322,L026,L003,0.28,2,1.3
R323,L005,L004,0.2,2,1.0
R324,L039,L022,0.27,2,1.2
R325,L017,L048,0.48,4,1.2
R326,L018,L020,0.05,1,1.0
R327,L007,L031,0.48,4,1.3
R328,L025,L017,0.6,5,1.3
R329,L009,L032,0.16,1,1.2
R330,L045,L010,0.41,3,1.2
R331,L024,L039,0.1,1,1.1
R332,L016,L027,0.09,1,1.0
R333,L035,L021,0.15,1,1.3
R334,L017,L040,0.1,1,1.0
R335,L027,L032,0.64,5,1.3
R336,L009,L027,0.33,3,1.1
R337,L048,L035,0.56,4,1.0
R338,L013,L029,0.2,2,1.1
R339,L016,L010,0.22,2,1.1
R340,L021,L005,0.29,2,1.1
R341,L015,L042,0.54,4,1.3
R342,L003,L007,0.05,1,1.1
R343,L029,L024,0.07,1,1.2
R344,L015,L008,0.08,1,1.1
R345,L005,L024,0.36,3,1.1
R346,L029,L039,0.21,2,1.0
R347,L007,L041,0.41,3,1.2
R348,L014,L003,0.27,2,1.1
R349,L017,L003,0.41,3,1.1
R350,L001,L021,0.3,2,1.2
R351,L012,L040,0.24,2,1.1
R352,L003,L032,0.38,3,1.0
R353,L027,L007,0.53,4,1.1
R354,L006,L042,0.15,1,1.2
R355,L043,L020,0.3,2,1.0
R356,L020,L048,0.39,3,1.2
R357,L024,L042,0.17,1,1.3
R358,L014,L001,0.31,2,1.1
R359,L028,L008,0.54,4,1.3
R360,L037,L024,0.33,3,1.1
R361,L026,L006,0.39,3,1.2
R362,L011,L010,0.26,2,1.1
R363,L034,L011,0.61,5,1.0
R364,L031,L021,0.08,1,1.3
R365,L006,L046,0.42,3,1.1
R366,L040,L026,0.42,3,1.1
R367,L037,L014,0.08,1,1.1
R368,L025,L023,0.12,1,1.1
R369,L047,L013,0.07,1,1.0
R370,L043,L021,0.12,1,1.3
R371,L036,L041,0.52,4,1.3
R372,L020,L038,0.2,2,1.3
R373,L043,L024,0.32,2,1.3
R374,L012,L002,0.05,1,1.3
R375,L030,L016,0.32,2,1.3
R376,L023,L028,0.27,2,1.3
R377,L003,L041,0.13,1,1.2
R378,L006,L004,0.5,4,1.3
R379,L042,L009,0.07,1,1.0
R380,L040,L047,0.47,4,1.0
R381,L013,L009,0.64,5,1.3
R382,L019,L011,0.46,4,1.1
R383,L011,L021,0.59,5,1.2
R384,L017,L033,0.63,5,1.3
R385,L014,L038,0.21,2,1.1
R386,L021,L024,0.07,1,1.1
R387,L041,L018,0.46,4,1.3
R388,L011,L017,0.12,1,1.0
R389,L045,L007,0.2,2,1.3
R390,L048,L024,0.21,2,1.2
R391,L037,L010,0.27,2,1.0
R392,L029,L015,0.16,1,1.0
R393,L047,L001,0.5,4,1.1
R394,L040,L041,0.31,2,1.2
R395,L040,L042,0.08,1,1.0
R396,L001,L037,0.26,2,1.0
R397,L034,L023,0.37,3,1.3
R398,L038,L009,0.17,1,1.3
R399,L011,L009,0.06,1,1.1
R400,L029,L007,0.09,1,1.1
R401,L043,L018,0.29,2,1.2
R402,L042,L036,0.59,5,1.3
R403,L039,L034,0.49,4,1.1
R404,L011,L001,0.08,1,1.0
R405,L026,L012,0.19,1,1.0
R406,L040,L036,0.44,3,1.1
R407,L039,L042,0.35,3,1.3
R408,L005,L020,0.43,3,1.3
R409,L046,L035,0.05,1,1.3
R410,L048,L030,0.1,1,1.3
R411,L007,L017,0.19,1,1.0
R412,L008,L022,0.58,4,1.2
R413,L046,L004,0.21,2,1.3
R414,L044,L034,0.63,5,1.2
R415,L042,L014,0.1,1,1.0
R416,L016,L048,0.17,1,1.1
R417,L048,L021,0.17,1,1.3
R418,L016,L025,0.59,5,1.3
R419,L045,L001,0.56,4,1.3
R420,L047,L015,0.39,3,1.2
R421,L014,L026,0.42,3,1.0
R422,L037,L011,0.14,1,1.0
R423,L040,L011,0.26,2,1.1
R424,L045,L002,0.07,1,1.1
R425,L045,L005,0.49,4,1.0
R426,L038,L024,0.17,1,1.0
R427,L046,L025,0.11,1,1.1
R428,L014,L008,0.07,1,1.0
R429,L041,L019,0.34,3,1.1
R430,L007,L042,0.17,1,1.2
R431,L022,L028,0.21,2,1.2
R432,L017,L019,0.08,1,1.2
R433,L021,L039,0.35,3,1.2
R434,L040,L048,0.07,1,1.3
R435,L002,L028,0.36,3,1.0
R436,L023,L031,0.47,4,1.1
R437,L001,L034,0.17,1,1.0
R438,L001,L023,0.34,3,1.3
R439,L023,L033,0.21,2,1.1
R440,L045,L015,0.35,3,1.0
R441,L032,L045,0.39,3,1.0
R442,L023,L007,0.29,2,1.3
R443,L028,L042,0.07,1,1.1
R444,L028,L035,0.35,3,1.3
R445,L030,L009,0.37,3,1.0
R446,L023,L038,0.25,2,1.1
R447,L029,L043,0.38,3,1.2
R448,L011,L030,0.31,2,1.2
R449,L038,L015,0.13,1,1.3
R450,L013,L018,0.23,2,1.1
R451,L016,L047,0.25,2,1.2
R452,L011,L016,0.25,2,1.1
R453,L017,L047,0.65,5,1.1
R454,L013,L025,0.14,1,1.1
R455,L020,L047,0.23,2,1.2
R456,L013,L007,0.43,3,1.0
R457,L018,L014,0.58,4,1.3
R458,L033,L041,0.23,2,1.0
R459,L039,L048,0.29,2,1.1
R460,L028,L045,0.39,3,1.3
R461,L044,L012,0.43,3,1.3
R462,L028,L021,0.21,2,1.0
R463,L026,L046,0.48,4,1.1
R464,L017,L028,0.34,3,1.0
R465,L040,L027,0.36,3,1.1
R466,L042,L021,0.52,4,1.3
R467,L032,L007,0.07,1,1.1
R468,L037,L030,0.37,3,1.3
R469,L033,L002,0.43,3,1.2
R470,L034,L022,0.3,2,1.3
R471,L014,L044,0.16,1,1.0
R472,L023,L041,0.08,1,1.2
R473,L025,L026,0.09,1,1.0
R474,L027,L041,0.47,4,1.2
R475,L038,L017,0.12,1,1.2
R476,L048,L026,0.61,5,1.1
R477,L014,L011,0.13,1,1.0
R478,L041,L013,0.33,3,1.1
R479,L010,L023,0.45,3,1.3
R480,L030,L019,0.51,4,1.1
R481,L015,L018,0.47,4,1.2
R482,L028,L044,0.16,1,1.0
R483,L047,L018,0.26,2,1.2
R484,L006,L043,0.59,5,1.1
R485,L020,L025,0.08,1,1.2
R486,L009,L034,0.55,4,1.0
R487,L043,L001,0.18,1,1.0
R488,L017,L039,0.11,1,1.1
R489,L029,L023,0.52,4,1.1
R490,L026,L035,0.15,1,1.0
R491,L041,L020,0.17,1,1.1
R492,L034,L006,0.5,4,1.3
R493,L017,L027,0.19,1,1.1
R494,L031,L032,0.38,3,1.3
R495,L016,L032,0.15,1,1.0
R496,L030,L045,0.39,3,1.2
R497,L030,L024,0.31,2,1.0
R498,L012,L041,0.27,2,1.0
R499,L002,L040,0.08,1,1.2
R500,L007,L033,0.34,3,1.1
R501,L041,L009,0.25,2,1.2
R502,L022,L031,0.52,4,1.1
R503,L019,L028,0.26,2,1.2
R504,L019,L023,0.55,4,1.3
R505,L022,L033,0.64,5,1.2
R506,L020,L009,0.4,3,1.0
R507,L047,L036,0.58,4,1.0
R508,L026,L020,0.12,1,1.0
R509,L013,L031,0.42,3,1.0
R510,L033,L035,0.42,3,1.1
R511,L041,L044,0.47,4,1.0
R512,L043,L041,0.32,2,1.1
R513,L012,L003,0.3,2,1.0
R514,L042,L001,0.27,2,1.1
R515,L020,L036,0.48,4,1.2
R516,L012,L027,0.07,1,1.0
R517,L028,L037,0.44,3,1.0
R518,L032,L037,0.36,3,1.0
R519,L027,L037,0.47,4,1.3
R520,L029,L005,0.06,1,1.3
R521,L043,L010,0.34,3,1.3
R522,L031,L014,0.59,5,1.0
R523,L028,L001,0.06,1,1.0
R524,L006,L014,0.57,4,1.1
R525,L037,L016,0.32,2,1.1
R526,L004,L024,0.51,4,1.1
R527,L036,L046,0.35,3,1.2
R528,L042,L044,0.54,4,1.0
R529,L039,L011,0.62,5,1.3
R530,L037,L047,0.31,2,1.1
R531,L027,L031,0.28,2,1.3
R532,L022,L019,0.22,2,1.2
R533,L039,L047,0.64,5,1.1
R534,L039,L020,0.4,3,1.1
R535,L025,L044,0.28,2,1.1
R536,L021,L017,0.21,2,1.1
R537,L038,L003,0.22,2,1.1
R538,L023,L035,0.1,1,1.3
R539,L004,L044,0.29,2,1.1
R540,L001,L025,0.33,3,1.0
R541,L005,L015,0.29,2,1.2
R542,L034,L021,0.34,3,1.1
R543,L013,L006,0.16,1,1.2
R544,L037,L023,0.29,2,1.1
R545,L032,L024,0.57,4,1.2
R546,L041,L030,0.52,4,1.1
R547,L002,L023,0.22,2,1.0
R548,L017,L018,0.31,2,1.3
R549,L009,L017,0.56,4,1.2
R550,L013,L012,0.28,2,1.0
R551,L036,L024,0.57,4,1.3
R552,L032,L005,0.57,4,1.3
R553,L021,L037,0.19,1,1.0
R554,L017,L023,0.09,1,1.0
R555,L004,L017,0.52,4,1.3
R556,L004,L007,0.14,1,1.0
R557,L013,L044,0.5,4,1.3
R558,L025,L008,0.27,2,1.3
R559,L044,L001,0.33,3,1.1
R560,L003,L011,0.61,5,1.1
R561,L005,L040,0.57,4,1.1
R562,L025,L002,0.43,3,1.3
R563,L015,L031,0.12,1,1.2
R564,L010,L022,0.18,1,1.0
R565,L012,L046,0.32,2,1.1
R566,L029,L010,0.21,2,1.3
R567,L017,L032,0.12,1,1.3
R568,L010,L033,0.08,1,1.1
R569,L019,L008,0.2,2,1.1
R570,L024,L028,0.64,5,1.1
R571,L016,L007,0.28,2,1.3
R572,L011,L004,0.55,4,1.2
R573,L010,L041,0.06,1,1.2
R574,L029,L001,0.52,4,1.2
R575,L012,L024,0.31,2,1.3
R576,L037,L012,0.13,1,1.1
R577,L034,L015,0.48,4,1.1
R578,L039,L006,0.55,4,1.3
R579,L014,L009,0.42,3,1.1
R580,L013,L001,0.09,1,1.3
R581,L041,L032,0.1,1,1.3
R582,L031,L009,0.57,4,1.2
R583,L045,L024,0.39,3,1.0
R584,L005,L008,0.26,2,1.1
R585,L025,L037,0.5,4,1.0
R586,L019,L007,0.62,5,1.3
R587,L002,L034,0.53,4,1.1
R588,L011,L007,0.24,2,1.0
R589,L002,L007,0.61,5,1.1
R590,L039,L041,0.4,3,1.1
R591,L045,L029,0.11,1,1.0
R592,L033,L018,0.12,1,1.0
R593,L026,L009,0.37,3,1.1
R594,L043,L037,0.33,3,1.3
R595,L011,L002,0.61,5,1.3
R596,L045,L027,0.41,3,1.0
R597,L026,L004,0.52,4,1.2
R598,L022,L046,0.31,2,1.2
R599,L026,L036,0.08,1,1.1
R600,L044,L023,0.2,2,1.3
R601,L001,L024,0.12,1,1.1
R602,L003,L042,0.42,3,1.2
R603,L008,L034,0.06,1,1.1
R604,L003,L019,0.12,1,1.2
R605,L008,L004,0.41,3,1.2
R606,L006,L030,0.4,3,1.1
R607,L029,L008,0.36,3,1.2
R608,L035,L019,0.55,4,1.1
R609,L042,L025,0.17,1,1.2
R610,L030,L036,0.23,2,1.3
R611,L022,L015,0.16,1,1.3
R612,L038,L026,0.06,1,1.2
R613,L021,L036,0.25,2,1.2
R614,L019,L004,0.51,4,1.1
R615,L036,L005,0.41,3,1.2
R616,L004,L034,0.28,2,1.3
R617,L023,L048,0.51,4,1.1
R618,L044,L048,0.61,5,1.3
R619,L022,L043,0.26,2,1.1
R620,L034,L007,0.49,4,1.3
R621,L046,L041,0.6,5,1.1
R622,L001,L027,0.51,4,1.0
R623,L027,L018,0.57,4,1.0
R624,L025,L029,0.47,4,1.2
R625,L026,L034,0.38,3,1.3
R626,L001,L048,0.56,4,1.3
R627,L020,L012,0.37,3,1.1
R628,L025,L038,0.19,1,1.2
R629,L016,L021,0.17,1,1.3
R630,L020,L035,0.51,4,1.3
R631,L025,L030,0.26,2,1.2
R632,L044,L005,0.37,3,1.0
R633,L027,L024,0.35,3,1.1
R634,L013,L027,0.34,3,1.3
R635,L006,L011,0.27,2,1.2
R636,L033,L012,0.12,1,1.2
R637,L033,L027,0.43,3,1.2
R638,L033,L013,0.3,2,1.0
R639,L041,L037,0.41,3,1.2
R640,L041,L047,0.08,1,1.3
R641,L001,L020,0.48,4,1.0
R642,L002,L013,0.16,1,1.2
R643,L042,L035,0.36,3,1.1
R644,L027,L039,0.12,1,1.1
R645,L032,L030,0.42,3,1.0
R646,L046,L016,0.26,2,1.1
R647,L023,L013,0.32,2,1.3
R648,L015,L026,0.4,3,1.0
R649,L029,L004,0.42,3,1.1
R650,L015,L003,0.15,1,1.1
R651,L030,L020,0.3,2,1.2
R652,L016,L044,0.28,2,1.1
R653,L027,L020,0.29,2,1.3
R654,L006,L012,0.15,1,1.3
R655,L012,L001,0.63,5,1.2
R656,L024,L008,0.25,2,1.3
R657,L022,L026,0.44,3,1.0
R658,L036,L016,0.28,2,1.3
R659,L016,L028,0.07,1,1.0
R660,L035,L009,0.38,3,1.3
R661,L014,L015,0.57,4,1.1
R662,L046,L017,0.41,3,1.3
R663,L035,L016,0.29,2,1.1
R664,L009,L008,0.46,4,1.0
R665,L035,L018,0.49,4,1.3
R666,L002,L043,0.48,4,1.1
R667,L006,L045,0.16,1,1.1
R668,L021,L013,0.45,3,1.0
R669,L024,L033,0.51,4,1.1
R670,L005,L046,0.24,2,1.1
R671,L019,L009,0.54,4,1.3
R672,L045,L023,0.59,5,1.0
R673,L007,L012,0.22,2,1.2
R674,L015,L046,0.46,4,1.3
R675,L010,L025,0.49,4,1.2
R676,L037,L015,0.39,3,1.2
R677,L028,L043,0.46,4,1.2
R678,L001,L008,0.55,4,1.2
R679,L004,L016,0.46,4,1.0
R680,L021,L014,0.52,4,1.2
R681,L029,L022,0.46,4,1.3
R682,L033,L004,0.46,4,1.1
R683,L032,L013,0.08,1,1.2
R684,L012,L035,0.15,1,1.1
R685,L035,L017,0.2,2,1.0
R686,L011,L023,0.26,2,1.0
R687,L009,L044,0.47,4,1.3
R688,L016,L001,0.36,3,1.3
R689,L038,L037,0.19,1,1.0
R690,L036,L028,0.51,4,1.1
R691,L013,L008,0.47,4,1.3
R692,L024,L019,0.15,1,1.0
R693,L048,L037,0.21,2,1.3
R694,L013,L035,0.24,2,1.2
R695,L017,L042,0.2,2,1.1
R696,L002,L026,0.55,4,1.2
R697,L041,L034,0.56,4,1.1
R698,L007,L047,0.55,4,1.2
R699,L025,L012,0.44,3,1.2
R700,L021,L015,0.27,2,1.2
R701,L007,L037,0.53,4,1.3
R702,L004,L014,0.35,3,1.3
R703,L047,L011,0.65,5,1.0
R704,L015,L011,0.13,1,1.3
R705,L006,L003,0.56,4,1.3
R706,L047,L024,0.05,1,1.3
R707,L022,L005,0.31,2,1.1
R708,L025,L019,0.05,1,1.2
R709,L031,L006,0.38,3,1.3
R710,L026,L039,0.42,3,1.0
R711,L047,L044,0.25,2,1.2
R712,L024,L031,0.44,3,1.1
R713,L020,L022,0.37,3,1.0
R714,L006,L010,0.45,3,1.2
R715,L036,L038,0.62,5,1.2
R716,L034,L016,0.39,3,1.3
R717,L017,L008,0.19,1,1.1
R718,L036,L048,0.12,1,1.2
R719,L043,L017,0.48,4,1.1
R720,L015,L035,0.39,3,1.0
R721,L006,L027,0.46,4,1.3
R722,L036,L033,0.48,4,1.0
R723,L011,L013,0.39,3,1.0
R724,L040,L004,0.29,2,1.0
R725,L024,L003,0.06,1,1.1
R726,L009,L028,0.6,5,1.0
R727,L040,L013,0.39,3,1.2
R728,L008,L016,0.27,2,1.2
R729,L023,L036,0.25,2,1.0
R730,L003,L044,0.2,2,1.2
R731,L013,L045,0.32,2,1.3
R732,L008,L002,0.34,3,1.0
R733,L017,L012,0.14,1,1.2
